,"(0, 0, 5)","(0, 1, 4)","(0, 2, 3)","(0, 3, 2)","(0, 4, 1)","(0, 5, 0)","(1, 0, 4)","(1, 1, 3)","(1, 2, 2)","(1, 3, 1)","(1, 4, 0)","(2, 0, 3)","(2, 1, 2)","(2, 2, 1)","(2, 3, 0)","(3, 0, 2)","(3, 1, 1)","(3, 2, 0)","(4, 0, 1)","(4, 1, 0)","(5, 0, 0)",player,iteration
55,-20.0,-8.0,-1.0,-2.0,-7.0,-18.0,-9.0,-3.0,-3.0,-3.0,-8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-6.0,-6.0,-16.0,B,27
56,-8.0,10.0,16.0,6.0,-11.0,-19.0,0.0,15.0,4.0,-9.0,-12.0,3.0,1.0,-13.0,-12.0,4.0,-1.0,-1.0,-1.0,8.0,-10.0,A,28
57,-20.0,-8.0,-1.0,-2.0,-7.0,-18.0,-8.0,-3.0,-3.0,-2.0,-7.0,1.0,-1.0,1.0,2.0,-1.0,-1.0,1.0,-7.0,-7.0,-17.0,B,28
58,-8.0,10.0,17.0,8.0,-9.0,-18.0,0.0,15.0,5.0,-7.0,-11.0,3.0,1.0,-12.0,-11.0,5.0,0.0,0.0,1.0,9.0,-9.0,A,29
59,-21.0,-9.0,-2.0,-3.0,-8.0,-19.0,-9.0,-4.0,-3.0,-2.0,-7.0,-1.0,-2.0,1.0,2.0,-3.0,-2.0,1.0,-9.0,-8.0,-19.0,B,29
60,-9.0,9.0,16.0,8.0,-8.0,-18.0,-1.0,14.0,4.0,-7.0,-11.0,3.0,1.0,-12.0,-11.0,6.0,1.0,0.0,2.0,9.0,-9.0,A,30
61,-21.0,-8.0,-2.0,-4.0,-9.0,-20.0,-9.0,-4.0,-4.0,-3.0,-8.0,-1.0,-2.0,1.0,2.0,-3.0,-1.0,2.0,-9.0,-7.0,-19.0,B,30
62,-9.0,9.0,16.0,9.0,-6.0,-17.0,-1.0,14.0,4.0,-6.0,-10.0,4.0,2.0,-11.0,-10.0,8.0,3.0,1.0,4.0,10.0,-8.0,A,31
63,-23.0,-9.0,-3.0,-6.0,-11.0,-22.0,-10.0,-5.0,-5.0,-4.0,-9.0,-2.0,-3.0,1.0,2.0,-5.0,-2.0,2.0,-11.0,-8.0,-21.0,B,31
64,-11.0,7.0,15.0,9.0,-7.0,-19.0,-3.0,12.0,3.0,-7.0,-12.0,3.0,1.0,-12.0,-11.0,8.0,2.0,0.0,3.0,8.0,-10.0,A,32
65,-22.0,-8.0,-2.0,-5.0,-10.0,-21.0,-8.0,-3.0,-4.0,-3.0,-7.0,0.0,-2.0,1.0,3.0,-4.0,-2.0,2.0,-11.0,-8.0,-21.0,B,32
66,-11.0,7.0,16.0,11.0,-6.0,-19.0,-3.0,12.0,4.0,-6.0,-12.0,4.0,2.0,-11.0,-10.0,10.0,3.0,1.0,4.0,8.0,-10.0,A,33
67,-23.0,-9.0,-3.0,-6.0,-11.0,-22.0,-9.0,-4.0,-4.0,-3.0,-7.0,-2.0,-3.0,1.0,3.0,-6.0,-3.0,2.0,-13.0,-9.0,-23.0,B,33
68,-12.0,6.0,16.0,12.0,-5.0,-19.0,-4.0,11.0,4.0,-5.0,-12.0,3.0,1.0,-11.0,-10.0,10.0,3.0,1.0,5.0,8.0,-10.0,A,34
69,-23.0,-8.0,-2.0,-6.0,-12.0,-23.0,-9.0,-3.0,-4.0,-4.0,-8.0,-2.0,-3.0,0.0,2.0,-6.0,-3.0,2.0,-13.0,-8.0,-23.0,B,34
70,-13.0,5.0,16.0,13.0,-4.0,-19.0,-5.0,10.0,4.0,-4.0,-12.0,2.0,0.0,-11.0,-10.0,10.0,3.0,1.0,6.0,8.0,-10.0,A,35
71,-23.0,-7.0,-1.0,-6.0,-13.0,-24.0,-9.0,-2.0,-4.0,-5.0,-9.0,-2.0,-3.0,-1.0,1.0,-6.0,-3.0,2.0,-13.0,-7.0,-23.0,B,35
72,-15.0,3.0,15.0,13.0,-4.0,-20.0,-7.0,8.0,3.0,-4.0,-13.0,0.0,-2.0,-12.0,-11.0,9.0,2.0,0.0,6.0,7.0,-11.0,A,36
73,-22.0,-5.0,1.0,-4.0,-12.0,-24.0,-8.0,0.0,-2.0,-4.0,-9.0,-1.0,-1.0,0.0,1.0,-5.0,-2.0,2.0,-12.0,-6.0,-22.0,B,36
74,-16.0,2.0,15.0,14.0,-3.0,-20.0,-8.0,7.0,3.0,-3.0,-13.0,-1.0,-3.0,-12.0,-11.0,9.0,2.0,0.0,7.0,7.0,-11.0,A,37
75,-22.0,-5.0,1.0,-4.0,-12.0,-24.0,-7.0,0.0,-2.0,-3.0,-8.0,-1.0,-2.0,0.0,2.0,-6.0,-3.0,2.0,-13.0,-7.0,-23.0,B,37
76,-18.0,0.0,13.0,13.0,-3.0,-21.0,-10.0,5.0,1.0,-4.0,-14.0,-2.0,-4.0,-13.0,-12.0,9.0,2.0,-1.0,7.0,6.0,-12.0,A,38
77,-21.0,-3.0,3.0,-3.0,-12.0,-24.0,-6.0,2.0,-1.0,-3.0,-8.0,0.0,-1.0,0.0,2.0,-5.0,-2.0,3.0,-12.0,-5.0,-22.0,B,38
78,-18.0,0.0,14.0,15.0,-1.0,-20.0,-10.0,5.0,2.0,-2.0,-13.0,-2.0,-4.0,-12.0,-11.0,10.0,3.0,0.0,9.0,7.0,-11.0,A,39
79,-23.0,-4.0,2.0,-5.0,-14.0,-26.0,-7.0,1.0,-2.0,-4.0,-9.0,-1.0,-2.0,0.0,2.0,-7.0,-3.0,3.0,-14.0,-6.0,-24.0,B,39
80,-19.0,0.0,14.0,14.0,-2.0,-21.0,-10.0,5.0,2.0,-2.0,-13.0,-2.0,-4.0,-11.0,-10.0,9.0,3.0,1.0,8.0,7.0,-12.0,A,40
81,-24.0,-4.0,3.0,-4.0,-14.0,-27.0,-8.0,1.0,-1.0,-4.0,-10.0,-2.0,-2.0,0.0,1.0,-7.0,-3.0,3.0,-14.0,-6.0,-25.0,B,40
82,-19.0,0.0,15.0,16.0,0.0,-20.0,-10.0,5.0,3.0,0.0,-12.0,-2.0,-4.0,-10.0,-9.0,10.0,4.0,2.0,10.0,8.0,-11.0,A,41
